source_group,comparison_group,diagnostic,diagnostic_type,category,count,missing_count,minimum,q25,median,q75,maximum,distance_type,distance,critical_zero_support
elite,elite,action_family,categorical,idle,0,0,,,,,,,,false
elite,elite,action_family,categorical,logistics,0,0,,,,,,,,true
elite,elite,action_family,categorical,other,0,0,,,,,,,,false
elite,elite,action_family,categorical,productive,0,0,,,,,,,,true
elite,elite,action_family,categorical,travel,0,0,,,,,,,,false
elite,elite,animal_composition,categorical,__none__,0,0,,,,,,,,false
elite,elite,crisis_state,categorical,storage_pressure,0,0,,,,,,,,false
elite,elite,crisis_state,categorical,terminal_stranding,0,0,,,,,,,,false
elite,elite,crop_composition,categorical,__none__,0,0,,,,,,,,false
elite,elite,market_operation,categorical,BUY_ANIMAL,0,0,,,,,,,,true
elite,elite,market_operation,categorical,BUY_LAND,0,0,,,,,,,,true
elite,elite,market_operation,categorical,BUY_PRODUCT,0,0,,,,,,,,false
elite,elite,market_operation,categorical,BUY_SEED,0,0,,,,,,,,false
elite,elite,market_operation,categorical,HIRE,0,0,,,,,,,,true
elite,elite,market_operation,categorical,SELL,0,0,,,,,,,,true
elite,elite,market_operation,categorical,other,0,0,,,,,,,,false
elite,elite,terminal_state,categorical,complete,0,0,,,,,,,,true
elite,elite,terminal_state,categorical,incomplete,0,0,,,,,,,,false
elite,elite,day,scalar,,0,0,,,,,,,,false
elite,elite,hand_count,scalar,,0,0,,,,,,,,false
elite,elite,hour,scalar,,0,0,,,,,,,,false
elite,elite,land_count,scalar,,0,0,,,,,,,,false
elite,elite,money,scalar,,0,0,,,,,,,,false
elite,elite,price:__none__,scalar,,0,0,,,,,,,,false
elite,elite,storage_load,scalar,,0,0,,,,,,,,false
elite,elite,storage_utilization,scalar,,0,0,,,,,,,,false
elite,elite,terminal_stranded_units,scalar,,0,0,,,,,,,,false
repaired,elite,action_family,categorical,idle,0,0,,,,,,,,false
repaired,elite,action_family,categorical,logistics,0,0,,,,,,,,true
repaired,elite,action_family,categorical,other,0,0,,,,,,,,false
repaired,elite,action_family,categorical,productive,0,0,,,,,,,,true
repaired,elite,action_family,categorical,travel,0,0,,,,,,,,false
repaired,elite,animal_composition,categorical,__none__,0,0,,,,,,,,false
repaired,elite,crisis_state,categorical,storage_pressure,0,0,,,,,,,,false
repaired,elite,crisis_state,categorical,terminal_stranding,0,0,,,,,,,,false
repaired,elite,crop_composition,categorical,__none__,0,0,,,,,,,,false
repaired,elite,market_operation,categorical,BUY_ANIMAL,0,0,,,,,,,,true
repaired,elite,market_operation,categorical,BUY_LAND,0,0,,,,,,,,true
repaired,elite,market_operation,categorical,BUY_PRODUCT,0,0,,,,,,,,false
repaired,elite,market_operation,categorical,BUY_SEED,0,0,,,,,,,,false
repaired,elite,market_operation,categorical,HIRE,0,0,,,,,,,,true
repaired,elite,market_operation,categorical,SELL,0,0,,,,,,,,true
repaired,elite,market_operation,categorical,other,0,0,,,,,,,,false
repaired,elite,terminal_state,categorical,complete,0,0,,,,,,,,true
repaired,elite,terminal_state,categorical,incomplete,0,0,,,,,,,,false
repaired,elite,day,scalar,,0,0,,,,,,,,false
repaired,elite,hand_count,scalar,,0,0,,,,,,,,false
repaired,elite,hour,scalar,,0,0,,,,,,,,false
repaired,elite,land_count,scalar,,0,0,,,,,,,,false
repaired,elite,money,scalar,,0,0,,,,,,,,false
repaired,elite,price:__none__,scalar,,0,0,,,,,,,,false
repaired,elite,storage_load,scalar,,0,0,,,,,,,,false
repaired,elite,storage_utilization,scalar,,0,0,,,,,,,,false
repaired,elite,terminal_stranded_units,scalar,,0,0,,,,,,,,false
teacher,elite,action_family,categorical,idle,0,0,,,,,,,,false
teacher,elite,action_family,categorical,logistics,0,0,,,,,,,,true
teacher,elite,action_family,categorical,other,0,0,,,,,,,,false
teacher,elite,action_family,categorical,productive,0,0,,,,,,,,true
teacher,elite,action_family,categorical,travel,0,0,,,,,,,,false
teacher,elite,animal_composition,categorical,__none__,0,0,,,,,,,,false
teacher,elite,crisis_state,categorical,storage_pressure,0,0,,,,,,,,false
teacher,elite,crisis_state,categorical,terminal_stranding,0,0,,,,,,,,false
teacher,elite,crop_composition,categorical,__none__,0,0,,,,,,,,false
teacher,elite,market_operation,categorical,BUY_ANIMAL,0,0,,,,,,,,true
teacher,elite,market_operation,categorical,BUY_LAND,0,0,,,,,,,,true
teacher,elite,market_operation,categorical,BUY_PRODUCT,0,0,,,,,,,,false
teacher,elite,market_operation,categorical,BUY_SEED,0,0,,,,,,,,false
teacher,elite,market_operation,categorical,HIRE,0,0,,,,,,,,true
teacher,elite,market_operation,categorical,SELL,0,0,,,,,,,,true
teacher,elite,market_operation,categorical,other,0,0,,,,,,,,false
teacher,elite,terminal_state,categorical,complete,0,0,,,,,,,,true
teacher,elite,terminal_state,categorical,incomplete,0,0,,,,,,,,false
teacher,elite,day,scalar,,0,0,,,,,,,,false
teacher,elite,hand_count,scalar,,0,0,,,,,,,,false
teacher,elite,hour,scalar,,0,0,,,,,,,,false
teacher,elite,land_count,scalar,,0,0,,,,,,,,false
teacher,elite,money,scalar,,0,0,,,,,,,,false
teacher,elite,price:__none__,scalar,,0,0,,,,,,,,false
teacher,elite,storage_load,scalar,,0,0,,,,,,,,false
teacher,elite,storage_utilization,scalar,,0,0,,,,,,,,false
teacher,elite,terminal_stranded_units,scalar,,0,0,,,,,,,,false
