episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
93754027,EPISODE_TYPE_PUBLIC,1,23307,Kirderf,55563567,74030,LOSS,2,3,211,3,11,3,13,1,20615.0,1,10,3,7,287,4,12,13,True,True
93731176,EPISODE_TYPE_PUBLIC,1,26952,Pravin Takpire,55351448,1864,WIN,2,3,213,3,11,3,13,1,19540.0,1,10,3,0,342,4,12,0,True,False
93698893,EPISODE_TYPE_PUBLIC,1,16371,Lord Momo,55544043,23823,LOSS,2,4,213,3,11,4,13,1,13040.0,1,10,1,0,214,2,8,0,True,False
93683463,EPISODE_TYPE_PUBLIC,1,20279,Vishisht Gupta,55557904,736,WIN,2,3,213,3,11,3,13,1,20017.0,1,10,3,0,150,4,6,0,True,False
93676535,EPISODE_TYPE_PUBLIC,0,19909,XiweiZhou,55498568,18391,WIN,2,3,212,3,11,3,13,1,21647.0,1,10,2,24,125,3,6,14,True,True
93675557,EPISODE_TYPE_PUBLIC,1,19213,G*Sim,55302119,23254,LOSS,2,3,213,3,11,3,13,1,18213.0,1,10,1,3,210,2,7,3,True,True
93674645,EPISODE_TYPE_PUBLIC,0,19601,C Aravindhan,55229852,62756,LOSS,2,4,213,3,11,4,13,1,17451.0,1,10,2,17,299,3,12,14,True,True
93673738,EPISODE_TYPE_PUBLIC,1,29323,zeel vavliya,55317806,24475,WIN,2,3,209,3,11,3,13,1,21647.0,1,10,0,13,195,1,8,13,False,True
93672817,EPISODE_TYPE_PUBLIC,1,29705,Aditya Pandey,55546689,54373,LOSS,2,4,213,3,11,4,13,1,21647.0,1,10,2,9,207,3,8,6,True,True
93671885,EPISODE_TYPE_PUBLIC,0,10731,Steven Pun,55310756,18641,LOSS,1,4,179,2,10,4,13,1,3686.0,1,10,1,0,116,2,4,0,True,False
93670974,EPISODE_TYPE_PUBLIC,1,17828,XiaoYan12,55545906,15644,WIN,2,5,213,3,11,5,13,1,13580.0,1,10,2,0,101,3,4,0,True,False
93670064,EPISODE_TYPE_PUBLIC,1,24722,Xmeeeee,55246576,20749,WIN,2,3,213,3,11,3,13,1,21647.0,1,10,2,11,239,3,12,5,True,True
93669156,EPISODE_TYPE_PUBLIC,0,24274,DanilChil,55349880,13756,WIN,2,4,213,3,11,4,13,1,16080.0,1,10,0,0,30,1,1,0,False,False
93668223,EPISODE_TYPE_PUBLIC,0,18537,Evie Barker,55528780,46406,LOSS,2,4,215,3,11,4,13,1,17317.0,1,10,2,11,261,3,15,13,True,True
93667311,EPISODE_TYPE_PUBLIC,0,19261,Afia Animah Fosu,55246694,2772,WIN,2,3,214,3,11,3,13,1,17451.0,1,10,3,10,213,4,8,0,True,True
93666378,EPISODE_TYPE_PUBLIC,0,18486,Kunj Kansara,55271607,19462,LOSS,2,3,214,3,11,2,13,1,17182.0,1,10,0,0,133,1,5,0,False,False
93665464,EPISODE_TYPE_PUBLIC,0,19709,GOMATHI PRIYA,55475707,14750,WIN,2,3,213,3,11,3,13,1,18909.0,1,10,3,8,152,4,10,6,True,True
93664529,EPISODE_TYPE_PUBLIC,1,27758,James Felipe,55520062,43844,LOSS,2,3,209,3,11,3,13,1,21647.0,1,10,2,12,128,3,6,4,True,True
93663625,EPISODE_TYPE_PUBLIC,0,21359,Case Seller,55383411,13501,WIN,2,4,213,3,11,4,13,1,15471.0,1,10,1,0,252,2,10,0,True,False
93662709,EPISODE_TYPE_PUBLIC,1,16586,Fredy Meyer,55280048,40405,LOSS,2,3,214,3,11,3,13,1,16335.0,1,10,3,9,130,4,5,9,True,True
93661778,EPISODE_TYPE_PUBLIC,0,18296,SethuMadhavan004,55358958,31981,LOSS,2,4,213,3,11,4,13,1,10720.0,1,10,1,1,95,2,5,1,True,True
93661227,EPISODE_TYPE_VALIDATION,0,16559,(self-play validation),55556191,18829,LOSS,2,4,213,3,11,4,13,1,15471.0,1,10,2,5,213,3,11,5,True,True
