episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
93778370,EPISODE_TYPE_PUBLIC,0,34762,HanaGhanem,55565380,3328,WIN,1,3,130,2,6,3,0,23,1873.0,4,13,0,0,0,1,0,0,False,False
93776740,EPISODE_TYPE_PUBLIC,0,27622,all-coder,55559746,38132,LOSS,1,3,124,2,6,3,0,23,1873.0,4,13,0,13,223,1,8,20,False,True
93764171,EPISODE_TYPE_PUBLIC,1,27224,vasujain7,55463884,17202,WIN,1,3,133,2,6,3,0,23,1873.0,4,13,0,2,262,1,10,1,False,True
93724920,EPISODE_TYPE_PUBLIC,1,24978,Oladimeji Adeyemi,55510252,70114,LOSS,1,3,125,2,6,3,0,23,1873.0,4,13,3,13,266,4,9,6,True,True
93690870,EPISODE_TYPE_PUBLIC,1,32223,Micah Fernando,55329401,32495,LOSS,1,3,125,2,6,3,0,23,1873.0,4,13,1,4,177,2,12,5,True,True
93667435,EPISODE_TYPE_PUBLIC,0,20247,geqiulin,55474329,29052,LOSS,1,3,135,2,6,3,0,23,1873.0,4,13,1,4,123,2,7,2,True,True
93666517,EPISODE_TYPE_PUBLIC,0,20468,Ethereallll1,55486116,48813,LOSS,1,3,134,2,6,3,0,23,1873.0,4,13,1,1,267,2,10,3,True,True
93665593,EPISODE_TYPE_PUBLIC,1,20071,carlos mario de oro aguado,55307082,43583,LOSS,1,3,131,2,6,3,0,23,1873.0,4,13,1,8,161,2,9,4,True,True
93664681,EPISODE_TYPE_PUBLIC,1,32882,Pamod Jayaneth,55545541,29568,WIN,1,3,124,2,6,3,0,23,1873.0,4,13,2,16,214,3,10,12,True,True
93663767,EPISODE_TYPE_PUBLIC,1,20148,Mobeen Fatima,55164275,15453,WIN,1,3,127,2,6,3,0,23,1873.0,4,13,3,5,244,4,9,1,True,True
93662860,EPISODE_TYPE_PUBLIC,1,26817,Hiroshi Sakiyama,55497947,17434,WIN,1,3,134,2,6,3,0,23,1873.0,4,13,1,2,139,2,5,0,True,True
93661924,EPISODE_TYPE_PUBLIC,1,28994,SOONHANKWON,55476733,34317,LOSS,1,3,125,2,6,3,0,23,1873.0,4,13,0,6,220,1,8,8,False,True
93660994,EPISODE_TYPE_PUBLIC,0,30516,saumyagupta12,55469022,13225,WIN,1,3,134,2,6,3,0,23,1873.0,4,13,1,0,72,2,4,0,True,False
93660092,EPISODE_TYPE_PUBLIC,1,23680,Moatez Litaiem,55300600,22470,WIN,1,3,133,2,6,3,0,23,1873.0,4,13,2,6,221,3,10,1,True,True
93659178,EPISODE_TYPE_PUBLIC,1,25217,dffzno1,55474164,19880,WIN,1,3,127,2,6,3,0,23,1873.0,4,13,1,0,148,2,7,0,True,False
93658280,EPISODE_TYPE_PUBLIC,1,33730,U Anand Williams,55479229,1394,WIN,1,3,123,2,6,3,0,23,1873.0,4,13,0,0,60,1,2,0,False,False
93657357,EPISODE_TYPE_PUBLIC,0,35467,ANGAD JANGIR,55420300,50429,LOSS,1,3,127,2,6,3,0,23,1873.0,4,13,0,13,132,1,6,25,False,True
93656438,EPISODE_TYPE_PUBLIC,1,33451,Blu cky,55387636,1970,WIN,1,3,125,2,6,3,0,23,1873.0,4,13,2,0,154,3,6,0,True,False
93655520,EPISODE_TYPE_PUBLIC,1,33072,halfpintcider,55413069,46292,LOSS,1,3,129,2,6,3,0,23,1873.0,4,13,2,6,228,3,9,6,True,True
93654595,EPISODE_TYPE_PUBLIC,1,26034,Jack Way,55405451,34508,LOSS,1,3,125,2,6,3,0,23,1873.0,4,13,1,8,285,2,12,12,True,True
93653690,EPISODE_TYPE_PUBLIC,1,29776,Michael J Hammel,55161213,19479,WIN,1,3,134,2,6,3,0,23,1873.0,4,13,0,29,200,1,10,10,False,True
93652763,EPISODE_TYPE_PUBLIC,1,23055,Arjun Annamalai,55422062,42018,LOSS,1,3,133,2,6,3,0,23,1873.0,4,13,3,10,399,4,14,9,True,True
93651884,EPISODE_TYPE_PUBLIC,0,32703,silvan ion,55334566,9880,WIN,1,3,134,2,6,3,0,23,1873.0,4,13,1,0,263,2,10,0,True,False
93650945,EPISODE_TYPE_PUBLIC,0,16740,Ange Adantchede,55469578,83780,LOSS,1,3,133,2,6,3,0,23,1873.0,4,13,3,21,206,4,8,18,True,True
93650402,EPISODE_TYPE_VALIDATION,0,22702,(self-play validation),55555148,21303,WIN,1,3,133,2,6,3,0,23,1873.0,4,13,1,3,134,2,6,3,True,True
