episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
93498286,EPISODE_TYPE_PUBLIC,1,28615,Simon-the-sorcerer,55538625,37464,LOSS,1,3,126,2,6,3,0,23,1873.0,4,13,1,8,107,2,6,2,True,True
93459860,EPISODE_TYPE_PUBLIC,0,29283,ömer umut güngör,55260473,29498,LOSS,1,3,134,2,6,3,0,23,1873.0,4,13,2,3,171,3,9,2,True,True
93419762,EPISODE_TYPE_PUBLIC,0,25847,cameronezrajones579,55531197,62451,LOSS,1,3,128,2,6,3,0,23,1873.0,4,13,2,6,287,3,12,8,True,True
93407322,EPISODE_TYPE_PUBLIC,1,21158,Alon Bar Koter,55301237,15201,WIN,1,3,133,2,6,3,0,23,1873.0,4,13,2,0,64,3,4,0,True,False
93398529,EPISODE_TYPE_PUBLIC,0,26275,Ajeet Jain,55317193,42926,LOSS,1,3,125,2,6,2,0,23,1873.0,4,13,2,4,451,3,12,4,True,True
93372676,EPISODE_TYPE_PUBLIC,1,26572,Neural Harvest,55466101,11099,WIN,1,3,130,2,6,3,0,23,1873.0,4,13,1,0,111,2,7,0,True,False
93355651,EPISODE_TYPE_PUBLIC,0,23416,Chris Turnbull,55441292,29802,LOSS,1,3,134,2,6,3,0,23,1873.0,4,13,3,29,130,4,5,5,True,True
93354750,EPISODE_TYPE_PUBLIC,0,18164,James Atteh,55523833,15556,WIN,1,3,133,2,6,3,0,23,1873.0,4,13,0,0,26,1,1,0,False,False
93353851,EPISODE_TYPE_PUBLIC,0,23792,Emmy,55476946,11753,WIN,1,3,134,2,6,2,0,23,1873.0,4,13,2,0,73,3,5,0,True,False
93352947,EPISODE_TYPE_PUBLIC,0,27731,Iswar Patra,55497667,23480,WIN,1,3,129,2,6,3,0,23,1873.0,4,13,2,5,146,3,7,2,True,True
93352050,EPISODE_TYPE_PUBLIC,0,24752,Abhishek Mishra,55403346,2074,WIN,1,3,133,2,6,3,0,23,1873.0,4,13,2,16,167,3,8,2,True,True
93351136,EPISODE_TYPE_PUBLIC,1,13099,Shreyansh Kanotra,55355146,29982,LOSS,1,3,135,2,6,3,0,23,1873.0,4,13,1,0,103,2,5,0,True,False
93350216,EPISODE_TYPE_PUBLIC,0,27038,Rafiozoo,55220089,36335,LOSS,1,3,126,2,6,3,0,23,1873.0,4,13,3,6,263,4,10,5,True,True
93349302,EPISODE_TYPE_PUBLIC,0,28836,Saumitra Verma,55247488,94531,LOSS,1,3,126,2,6,2,0,23,1873.0,4,13,1,12,174,2,7,19,True,True
93348390,EPISODE_TYPE_PUBLIC,0,34435,Yonatan Nemtsov,55196877,3000,WIN,1,3,130,2,6,2,0,23,1873.0,4,13,0,0,0,1,0,0,False,False
93347466,EPISODE_TYPE_PUBLIC,0,19197,Wei Hsiang Lin111,55157049,20731,LOSS,1,3,135,2,6,3,0,23,1873.0,4,13,1,0,416,2,8,0,True,False
93346568,EPISODE_TYPE_PUBLIC,1,25938,greySnow,55335889,3581,WIN,1,3,129,2,6,1,0,23,1873.0,4,13,1,7,175,2,8,5,True,True
93345652,EPISODE_TYPE_PUBLIC,0,38144,Wzjj98,55305852,3968,WIN,1,3,124,2,6,2,0,23,1873.0,4,13,2,0,156,3,6,0,True,False
93344750,EPISODE_TYPE_PUBLIC,1,28406,Yuankun Liu,55141500,9345,WIN,1,3,125,2,6,2,0,23,1873.0,4,13,2,0,168,3,7,0,True,False
93343825,EPISODE_TYPE_PUBLIC,0,18012,Mark Calvert,55333723,21676,LOSS,1,3,136,2,6,3,0,23,1873.0,4,13,2,0,229,3,10,0,True,False
93342905,EPISODE_TYPE_PUBLIC,0,16108,Shaik Adilazeez,55479434,27512,LOSS,1,3,135,2,6,3,0,23,1873.0,4,13,0,0,90,1,3,0,False,False
93342018,EPISODE_TYPE_PUBLIC,1,28932,데미안과마루,55338902,2298,WIN,1,3,127,2,6,1,0,23,1873.0,4,13,1,0,135,2,5,0,True,False
93341103,EPISODE_TYPE_PUBLIC,1,19527,Lissandra Kruse Fuganti,55418487,54678,LOSS,1,3,127,2,6,2,0,23,1873.0,4,13,2,7,262,2,14,7,True,True
93340209,EPISODE_TYPE_PUBLIC,1,36263,Owen M Kelley,55392865,16668,WIN,1,3,124,2,6,3,0,23,1873.0,4,13,2,9,109,3,4,6,True,True
93339291,EPISODE_TYPE_PUBLIC,0,32250,yf D,55462472,41718,LOSS,1,3,127,2,6,3,0,23,1873.0,4,13,0,3,61,1,4,6,False,True
93337855,EPISODE_TYPE_VALIDATION,0,21175,(self-play validation),55530214,20945,WIN,1,3,132,2,6,3,0,23,1873.0,4,13,1,3,134,2,6,3,True,True
