episode_id,type,our_seat,our_reward,opp_team,opp_submission_id,opp_reward,result,our_buy_land,our_buy_animal,our_hire,our_n_unlocked,our_max_hands,our_animals_placed,our_land_cause_day,our_land_cause_hour,our_land_cause_money,our_land_cause_hands,our_land_cause_plants,opp_buy_land,opp_buy_animal,opp_hire,opp_n_unlocked,opp_max_hands,opp_animals_placed,opp_land,opp_animals
101117542,EPISODE_TYPE_PUBLIC,0,34597,Jason-Oh,55825469,3000,WIN,2,10,171,3,8,6,13,23,22096.0,3,21,0,0,0,1,0,0,False,False
100951283,EPISODE_TYPE_PUBLIC,0,9295,Derek Earnhart,55247074,47921,LOSS,0,0,85,1,8,0,,,,,,3,3,213,4,12,8,True,True
100766159,EPISODE_TYPE_PUBLIC,1,27786,Elias Schecke,55814168,41837,LOSS,2,10,172,3,8,8,13,23,18779.0,3,21,2,5,327,3,12,0,True,True
100663417,EPISODE_TYPE_PUBLIC,0,32352,YujieXing10,55811380,3000,WIN,2,9,172,3,8,5,13,23,22096.0,3,21,0,0,0,1,0,0,False,False
100652237,EPISODE_TYPE_PUBLIC,0,21815,Kaggri Farmers,55810139,19347,WIN,2,10,177,3,8,8,13,23,17651.0,3,21,1,1,104,2,6,0,True,True
100638565,EPISODE_TYPE_PUBLIC,0,22343,Sandeep Vanapalli,55244074,31515,LOSS,2,10,136,3,8,9,13,23,12695.0,3,21,3,5,242,4,13,5,True,True
100599619,EPISODE_TYPE_PUBLIC,1,25176,Dennis SH Lai,55808761,65992,LOSS,2,10,173,3,8,8,13,23,18911.0,3,21,0,6,145,1,5,6,False,True
100471871,EPISODE_TYPE_PUBLIC,1,39146,query_stop,55805939,6661,WIN,2,9,172,3,8,8,13,23,22096.0,3,21,0,0,0,1,0,0,False,False
100371714,EPISODE_TYPE_PUBLIC,0,31619,Durra Handri,55786525,2725,WIN,2,10,173,3,8,8,13,23,22096.0,3,21,1,0,77,2,6,0,True,False
100210347,EPISODE_TYPE_PUBLIC,0,22432,Haoxiang Li,55669348,22112,WIN,2,10,175,3,8,8,13,23,17945.0,3,21,2,0,185,3,16,0,True,False
99947820,EPISODE_TYPE_PUBLIC,1,29059,wilson LUNG,55557127,16923,WIN,2,10,177,3,8,8,13,23,22096.0,3,21,1,3,135,2,7,6,True,True
99698750,EPISODE_TYPE_PUBLIC,1,37290,Mohd Zaki,55782829,3000,WIN,2,9,173,3,8,8,13,23,22096.0,3,21,0,0,0,1,0,0,False,False
99566722,EPISODE_TYPE_PUBLIC,0,9888,André Luiz Pedroso,55377851,11599,LOSS,1,7,80,2,8,3,13,23,5603.0,3,21,3,1,157,4,10,0,True,True
99487040,EPISODE_TYPE_PUBLIC,1,28302,samuel job Adeola ,55768831,7390,WIN,2,10,174,3,8,7,13,23,22096.0,3,21,0,0,139,1,5,0,False,False
99238381,EPISODE_TYPE_PUBLIC,0,22924,zzy123123,55290665,35023,LOSS,2,9,170,3,8,8,13,23,18231.0,3,21,0,6,90,1,3,4,False,True
98996520,EPISODE_TYPE_PUBLIC,0,10680,tenfish,55760760,28150,LOSS,0,0,61,1,8,0,,,,,,0,0,162,1,12,0,False,False
98811542,EPISODE_TYPE_PUBLIC,1,36249,Sahil suman,55755330,239,WIN,2,9,172,3,8,7,13,23,22096.0,3,21,0,4,42,1,11,0,False,True
98798064,EPISODE_TYPE_PUBLIC,1,10074,Gavin Walsh (N1DGE11),55354374,85100,LOSS,1,1,81,2,8,1,13,23,2738.0,3,21,0,7,264,1,10,19,False,True
98695610,EPISODE_TYPE_PUBLIC,0,22251,Sharad Garg,55479280,10065,WIN,2,11,151,3,8,9,13,23,13983.0,3,20,2,0,104,3,5,0,True,False
98463308,EPISODE_TYPE_PUBLIC,0,35728,orivael,55280748,22889,WIN,2,9,173,3,8,8,13,23,22096.0,3,21,0,4,120,1,4,4,False,True
98214359,EPISODE_TYPE_PUBLIC,1,32208,messibeatgravity,55734063,10593,WIN,2,10,175,3,8,8,13,23,22096.0,3,21,3,0,180,4,6,0,True,False
98025168,EPISODE_TYPE_PUBLIC,1,35773,BackFiring,55727491,57605,LOSS,2,9,174,3,8,7,13,23,22096.0,3,21,2,26,266,3,10,13,True,True
97981863,EPISODE_TYPE_PUBLIC,1,9830,_student,55726388,16615,LOSS,2,10,99,3,8,9,13,23,10451.0,3,19,0,0,30,1,1,0,False,False
97972622,EPISODE_TYPE_PUBLIC,0,11537,Marc Rippee,55726572,81692,LOSS,1,7,89,2,8,5,13,23,6738.0,3,20,2,9,288,3,12,14,True,True
97877094,EPISODE_TYPE_PUBLIC,1,32297,Felisitas Mellania,55723285,49844,LOSS,2,10,175,3,8,8,13,23,20855.0,3,21,2,16,185,3,7,14,True,True
97872480,EPISODE_TYPE_PUBLIC,1,37528,Alexandru Sitaru,55723391,76760,LOSS,2,9,174,3,8,8,13,23,21512.0,3,21,1,11,274,2,12,15,True,True
97854352,EPISODE_TYPE_PUBLIC,0,20457,我是刘大聪,55722283,33544,LOSS,2,10,170,3,8,8,13,23,15191.0,3,21,2,2,298,3,12,4,True,True
97801610,EPISODE_TYPE_PUBLIC,1,37593,Illusion,55721826,3913,WIN,2,9,171,3,8,8,13,23,22096.0,3,21,0,0,0,1,0,0,False,False
97797172,EPISODE_TYPE_PUBLIC,1,10281,Florian Tigoulet,55720681,35543,LOSS,1,10,90,2,8,9,13,23,7773.0,3,21,2,4,152,3,6,0,True,True
97728827,EPISODE_TYPE_PUBLIC,1,23572,German Vdovin,55198278,15552,WIN,2,11,175,3,8,9,13,23,18025.0,3,20,3,5,117,4,12,0,True,True
97651178,EPISODE_TYPE_PUBLIC,0,19815,GCSudarshanReddy,55532962,27565,LOSS,2,10,151,3,8,8,13,23,13889.0,3,21,0,0,120,1,4,0,False,False
97523336,EPISODE_TYPE_PUBLIC,0,36784,Yusei Ito,55693238,37173,LOSS,2,9,167,3,8,7,13,23,22096.0,3,21,2,11,240,3,9,8,True,True
97310954,EPISODE_TYPE_PUBLIC,0,28939,Mink,55704497,68471,LOSS,2,10,172,3,8,8,13,23,22176.0,3,20,1,14,116,2,5,10,True,True
97137892,EPISODE_TYPE_PUBLIC,0,20329,Elmira Yekani,55583155,26983,LOSS,2,11,156,3,8,9,13,23,15011.0,3,21,2,14,150,3,5,4,True,True
97114973,EPISODE_TYPE_PUBLIC,0,24757,Aleksey SCHUKIN,55552211,18844,WIN,2,11,179,3,8,9,13,23,18523.0,3,21,2,13,240,3,8,6,True,True
97005600,EPISODE_TYPE_PUBLIC,1,37401,Mohit Khade13,55620903,25215,WIN,2,9,173,3,8,8,13,23,22096.0,3,21,2,2,198,3,8,2,True,True
96795606,EPISODE_TYPE_PUBLIC,1,13673,Praneeth Annapureddy,55258874,43140,LOSS,1,10,94,2,8,7,13,23,7773.0,3,21,1,0,220,2,8,0,True,False
96597008,EPISODE_TYPE_PUBLIC,0,20457,shilpa.rpns,55683552,34602,LOSS,2,11,171,3,8,9,13,23,15625.0,3,19,0,6,150,1,5,6,False,True
96414703,EPISODE_TYPE_PUBLIC,1,29284,jackee777,55665886,17507,WIN,2,8,172,3,8,7,13,23,22176.0,3,20,0,0,120,1,4,0,False,False
96234503,EPISODE_TYPE_PUBLIC,1,35049,micchy,55676046,29482,WIN,2,9,170,3,8,6,13,23,22096.0,3,21,3,2,285,4,10,3,True,True
96189067,EPISODE_TYPE_PUBLIC,0,21570,German Vdovin,55194716,20418,WIN,2,11,179,3,8,9,13,23,17039.0,3,21,3,3,153,4,12,0,True,True
96042984,EPISODE_TYPE_PUBLIC,1,36710,Arum Puri ,55602528,2352,WIN,2,9,170,3,8,8,13,23,21279.0,3,21,3,0,136,4,5,0,True,False
95885508,EPISODE_TYPE_PUBLIC,0,24450,goldfish,55473185,63122,LOSS,2,11,176,3,8,9,13,23,18025.0,3,19,2,8,264,3,12,6,True,True
95693687,EPISODE_TYPE_PUBLIC,1,30571,Jamie Nojek,55659052,36883,LOSS,2,9,173,3,8,8,13,23,22096.0,3,21,2,11,236,3,10,6,True,True
95600175,EPISODE_TYPE_PUBLIC,0,27275,Haoxiang Li,55656903,20939,WIN,2,10,177,3,8,8,13,23,20855.0,3,21,0,0,107,1,4,0,False,False
95593300,EPISODE_TYPE_PUBLIC,1,20220,Gao Wenjiang,55657002,33492,LOSS,2,11,160,3,8,8,13,23,15545.0,3,21,2,13,347,3,13,7,True,True
95554585,EPISODE_TYPE_PUBLIC,1,33558,kyunyoung,55500337,26087,WIN,2,9,172,3,8,7,13,23,22096.0,3,21,0,1,87,1,3,2,False,True
95486261,EPISODE_TYPE_PUBLIC,0,9785,prabalsingh_23,55282179,23045,LOSS,2,10,101,3,8,8,13,23,11430.0,3,21,0,0,112,1,4,0,False,False
95331061,EPISODE_TYPE_PUBLIC,1,29738,Indium AI Labs,55651112,38467,LOSS,2,9,172,3,8,7,13,23,22096.0,3,21,1,4,270,2,10,4,True,True
95180313,EPISODE_TYPE_PUBLIC,0,36874,Parth Tomar,55646449,3000,WIN,2,9,172,3,8,7,13,23,22096.0,3,21,0,0,0,1,0,0,False,False
95168877,EPISODE_TYPE_PUBLIC,0,8082,Lin,55646237,148009,LOSS,2,10,97,3,8,7,13,23,11430.0,3,21,2,8,263,3,14,14,True,True
95123314,EPISODE_TYPE_PUBLIC,0,19464,nk,55644621,9951,WIN,2,10,154,3,8,6,13,23,14829.0,3,21,1,0,90,2,3,0,True,False
95095948,EPISODE_TYPE_PUBLIC,1,21166,nk,55643824,10152,WIN,2,10,157,3,8,9,13,23,14829.0,3,21,1,0,90,2,3,0,True,False
95073311,EPISODE_TYPE_PUBLIC,1,37684,Joshua Fernando,55557290,60242,LOSS,2,10,176,3,8,7,13,23,22096.0,3,21,1,19,200,2,9,12,True,True
94931742,EPISODE_TYPE_PUBLIC,0,32754,Arthur Baygildin,55576112,6574,WIN,2,9,172,3,8,7,13,23,22096.0,3,21,0,0,4,1,1,0,False,False
94794888,EPISODE_TYPE_PUBLIC,0,30390,fakyyy,55376896,36144,LOSS,2,9,172,3,8,7,13,23,21488.0,3,21,0,14,144,1,5,15,False,True
94698344,EPISODE_TYPE_PUBLIC,1,25618,shreyas sangalad,55185146,11086,WIN,2,10,172,3,8,9,13,23,17799.0,3,21,2,7,132,3,9,10,True,True
94634435,EPISODE_TYPE_PUBLIC,0,21663,Sooriya Senthilkumar,55630314,35901,LOSS,2,10,135,3,8,9,13,23,12695.0,3,21,0,5,210,1,7,5,False,True
94614432,EPISODE_TYPE_PUBLIC,1,20886,Daumas Benjamin,55334352,23541,LOSS,2,10,150,3,8,8,13,23,14280.0,3,21,1,2,90,2,3,0,True,True
94558842,EPISODE_TYPE_PUBLIC,1,30612,anthony mbadiwe ikeme,55556752,17500,WIN,2,9,172,3,8,6,13,23,22096.0,3,21,2,5,232,3,9,0,True,True
94520778,EPISODE_TYPE_PUBLIC,0,37802,Mr.TtT_Games,55497169,38619,LOSS,2,9,174,3,8,8,13,23,22096.0,3,21,3,10,128,4,8,10,True,True
94519896,EPISODE_TYPE_PUBLIC,0,26308,Yeyuqing0913,55614599,11784,WIN,2,10,172,3,8,9,13,23,17945.0,3,21,0,0,30,1,1,0,False,False
94518980,EPISODE_TYPE_PUBLIC,0,16319,SeaEag1e,55129327,26377,LOSS,2,10,118,3,8,8,13,23,11006.0,3,21,1,0,203,2,7,0,True,False
94518091,EPISODE_TYPE_PUBLIC,0,31232,Jana Hagen,55617535,22667,WIN,2,11,176,3,8,9,13,23,22256.0,3,19,2,8,223,3,10,6,True,True
94517191,EPISODE_TYPE_PUBLIC,0,20451,Yermak Petro,55575453,35090,LOSS,2,11,150,3,8,9,13,23,14271.0,3,21,2,52,281,3,12,53,True,True
94516298,EPISODE_TYPE_PUBLIC,0,25993,Clark Kitchen,55607786,16306,WIN,2,10,173,3,8,9,13,23,17349.0,3,21,0,0,54,1,2,0,False,False
94515411,EPISODE_TYPE_PUBLIC,0,34222,zhenf Liu,55426987,11917,WIN,2,10,174,3,8,8,13,23,22096.0,3,21,1,0,179,2,6,0,True,False
94514508,EPISODE_TYPE_PUBLIC,0,25976,Tara Singh Kharwad,55247230,34564,LOSS,2,11,176,3,8,9,13,23,17039.0,3,21,1,2,183,2,7,2,True,True
94513598,EPISODE_TYPE_PUBLIC,1,26317,Waiswa Geoffrey,55577268,39465,LOSS,2,10,172,3,8,8,13,23,17039.0,3,21,1,6,325,2,13,23,True,True
94512689,EPISODE_TYPE_PUBLIC,0,25452,Mansi Aggarwal,55582022,6851,WIN,2,11,173,3,8,7,13,23,20855.0,3,21,2,0,258,3,10,0,True,False
94511815,EPISODE_TYPE_PUBLIC,0,27968,Thu Nguyen,55618211,42759,LOSS,2,10,171,3,8,8,13,23,19295.0,3,21,2,8,140,3,6,5,True,True
94510929,EPISODE_TYPE_PUBLIC,0,31110,Joseph Garcia,55607725,10167,WIN,2,9,171,3,8,5,13,23,22096.0,3,21,1,0,205,2,9,0,True,False
94510046,EPISODE_TYPE_PUBLIC,1,30703,Jelle Maas,55353649,18308,WIN,2,9,172,3,8,7,13,23,19419.0,3,21,0,0,90,1,3,0,False,False
94509172,EPISODE_TYPE_PUBLIC,0,32225,PLLZ,55567048,463,WIN,2,10,172,3,8,8,13,23,21279.0,3,21,3,2,81,4,3,1,True,True
94508256,EPISODE_TYPE_PUBLIC,0,27986,Mark Holloway,55475532,28223,LOSS,2,10,172,3,8,8,13,23,17945.0,3,21,0,6,180,1,7,12,False,True
94507356,EPISODE_TYPE_PUBLIC,0,32616,ZZZZGOD,55332179,40790,LOSS,2,10,173,3,8,9,13,23,22176.0,3,20,3,10,241,4,12,11,True,True
94506471,EPISODE_TYPE_PUBLIC,0,28760,Phú Nhân Nguyễn,55523033,80423,LOSS,2,10,175,3,8,7,13,23,20935.0,3,20,3,12,261,4,13,12,True,True
